nbdates	date	aot_440_daily	angstrom440_870
41	2012-11-08	0.0394362927	0.3813016098
34	2012-11-09	0.0736813824	0.8198429118
21	2012-11-10	0.0694534286	0.9979760476
33	2012-11-15	0.0506346364	0.2625519697
22	2012-11-16	0.0215806364	0.0007762273
18	2012-11-18	0.0633242778	-0.0848322222
28	2012-11-19	0.0607660357	0.3582387143
33	2012-11-20	0.0453257273	0.0759610303
24	2012-11-21	0.0291932500	0.1842408750
45	2012-11-22	0.0402400889	0.5279933778
16	2012-11-23	0.0473040625	0.5630665625
40	2012-11-24	0.0299506500	0.1976544250
39	2012-11-25	0.0559569744	0.1808462821
27	2012-11-27	0.0515565185	-0.0941216296
27	2012-11-28	0.0395621481	0.0205365926
27	2012-11-29	0.0560892963	0.5602607778
21	2012-11-30	0.1078066190	0.1546540476
21	2012-12-02	0.0841732381	0.3360738571
17	2012-12-03	0.0539585294	1.0203333529
18	2012-12-09	0.0760784444	0.0944911111
15	2012-12-10	0.0847638667	0.0713217333
24	2012-12-11	0.0864324583	-0.0149447083
24	2012-12-12	0.1029354583	-0.0695068750
29	2012-12-14	0.0889005517	-0.0081646552
18	2012-12-16	0.0443477222	0.1797412778
17	2012-12-17	0.0428899412	0.1910520588
30	2012-12-18	0.0543308000	0.2208734333
29	2012-12-19	0.0576413103	0.2061911034
41	2012-12-20	0.0414268049	0.0279009024
39	2012-12-21	0.0447174103	0.2841512564
16	2012-12-25	0.0711420000	0.0133311875
27	2012-12-26	0.1723973704	0.3841357778
38	2012-12-27	0.0822301579	0.2678758421
32	2012-12-29	0.0628507188	-0.1171385000
36	2012-12-30	0.0625417222	-0.1219500833
19	2013-01-01	0.0369949474	-0.0388430526
21	2013-01-02	0.0475324286	0.0305233333
21	2013-01-03	0.0475329048	-0.1210056190
25	2013-01-04	0.1004401600	0.0159619200
17	2013-01-05	0.1047421765	-0.0205127647
30	2013-01-15	0.0356559667	0.1255003333
26	2013-01-16	0.0409410769	0.1276705385
14	2013-01-17	0.0523885000	-0.1531484286
30	2013-01-20	0.0313891000	-0.1918548667
36	2013-01-21	0.0464580278	-0.1032263333
19	2013-01-23	0.1558856842	-0.0077057895
15	2013-01-24	0.0855675333	0.0675791333
23	2013-01-25	0.0425910000	-0.1768418696
27	2013-01-26	0.0860619259	0.1541252593
12	2013-01-28	0.0634292500	0.0524185833
26	2013-01-29	0.0681503462	0.2293978846
34	2013-01-30	0.0421846471	0.0923274706
29	2013-01-31	0.0428637931	-0.1138048966
33	2013-02-01	0.0528315152	0.0169500000
29	2013-02-02	0.0806452414	-0.0040923793
39	2013-02-03	0.0290444103	-0.2068558462
18	2013-02-04	0.0326316111	0.2910421667
21	2013-02-05	0.0431879524	-0.0879975714
34	2013-02-06	0.0376380882	-0.0991351765
32	2013-02-07	0.0972649688	0.0063158125
23	2013-02-08	0.0540150870	-0.0960906522
15	2013-02-09	0.0573366000	0.0916399333
24	2013-02-10	0.0578327500	0.2589238333
18	2013-02-11	0.0392582778	-0.0306437222
19	2013-02-14	0.1004558947	0.2876141053
12	2013-02-15	0.0726577500	0.0507177500
23	2013-02-16	0.0504740870	-0.1608073478
16	2013-02-17	0.0909072500	-0.0665676250
29	2013-02-19	0.1011700690	-0.0271794828
26	2013-02-20	0.1187844231	0.2418803077
23	2013-02-23	0.0384784348	0.1693142174
40	2013-02-24	0.0718777250	0.6755108000
38	2013-02-25	0.0786392368	0.3910245789
45	2013-02-26	0.0588589111	0.0921542222
41	2013-02-27	0.0790011951	0.3620567073
43	2013-02-28	0.0795591395	0.3848576977
41	2013-03-01	0.0583651220	0.6046233171
42	2013-03-03	0.0795673810	0.4512473810
32	2013-03-04	0.0522813125	0.3616179063
14	2013-03-05	0.1168865000	0.6329346429
36	2013-03-06	0.1290164444	0.8085892778
17	2013-03-07	0.1371923529	0.6141932941
19	2013-03-08	0.2234954737	1.2272870000
31	2013-03-09	0.0990756129	0.8530011935
45	2013-03-15	0.0476486444	0.4317882444
19	2013-03-19	0.0631543684	0.2280091053
14	2013-03-20	0.0493219286	0.3630216429
28	2013-03-23	0.0798540357	0.2436312857
15	2013-03-24	0.0704340000	0.6680648000
32	2013-03-26	0.0347177188	0.0695908438
24	2013-03-27	0.0718901667	0.0593470833
36	2013-03-28	0.0583706944	0.1218887500
17	2013-03-29	0.1048834706	0.4479330000
13	2013-03-31	0.1243741538	0.5575706923
20	2013-04-02	0.1030511000	0.0067782500
