date	avg(pm10)
2004-02-25	31.7727273
2004-02-26	13.6842105
2004-02-27	21.7391304
2004-02-28	21.5416667
2004-02-29	21.5833333
2004-03-01	32.0434783
2004-03-02	33.5416667
2004-03-03	32.0000000
2004-03-04	20.3333333
2004-03-05	16.6250000
2004-03-06	17.4583333
2004-03-07	26.6666667
2004-03-08	33.8260870
2004-03-09	187.6250000
2004-03-10	124.2500000
2004-03-11	89.1250000
2004-03-12	75.3333333
2004-03-13	66.2500000
2004-03-14	86.4166667
2004-03-15	95.6666667
2004-03-16	89.2916667
2004-03-17	67.3750000
2004-03-18	72.3750000
2004-03-19	74.0000000
2004-03-20	66.5833333
2004-03-21	52.0000000
2004-03-22	54.2500000
2004-03-23	55.1666667
2004-03-24	112.5000000
2004-03-25	79.5000000
2004-03-26	41.2916667
2004-03-27	55.6666667
2004-03-28	51.2500000
2004-03-29	52.1250000
2004-03-30	42.4583333
2004-03-31	26.5000000
2004-04-01	19.9166667
2004-04-02	17.5833333
2004-04-03	13.9545455
2004-04-04	9.4583333
2004-04-05	11.6956522
2004-04-06	15.1250000
2004-04-07	21.4166667
2004-04-08	23.4782609
2004-04-09	18.3750000
2004-04-10	40.7916667
2004-04-11	64.2500000
2004-04-12	50.8750000
2004-04-13	29.3478261
2004-04-14	14.5000000
2004-04-15	16.6086957
2004-04-16	19.7391304
2004-04-17	11.4285714
2004-04-18	11.2608696
2004-04-19	13.2608696
2004-04-20	11.8181818
2004-04-21	17.6666667
2004-04-22	21.5833333
2004-04-23	23.6666667
2004-04-24	9.8750000
2004-04-25	7.9583333
2004-04-26	12.2916667
2004-04-27	11.0000000
2004-04-28	8.1666667
2004-04-29	10.2083333
2004-04-30	10.1250000
2004-05-01	9.0833333
2004-05-02	13.5416667
2004-05-03	22.8333333
2004-05-04	19.9583333
2004-05-05	20.2916667
2004-05-06	44.1666667
2004-05-07	46.0000000
2004-05-08	12.5416667
2004-05-09	11.3333333
2004-05-10	15.8750000
2004-05-11	11.4166667
2004-05-12	17.8750000
2004-05-13	14.0416667
2004-05-14	9.0000000
2004-05-15	9.4583333
2004-05-16	14.4166667
2004-05-17	16.4583333
2004-05-18	14.2500000
2004-05-19	20.2083333
2004-05-20	15.1666667
2004-05-21	26.8333333
2004-05-22	13.0416667
2004-05-23	6.2916667
2004-05-24	20.3750000
2004-05-25	23.7083333
2004-05-26	18.7083333
2004-05-27	16.1666667
2004-05-28	19.7500000
2004-05-29	20.0000000
2004-05-30	11.9583333
2004-05-31	13.7083333
2004-06-01	19.5833333
2004-06-02	14.5833333
2004-06-03	12.2916667
2004-06-04	31.9166667
2004-06-05	32.6250000
2004-06-06	16.8750000
2004-06-07	18.2083333
2004-06-08	23.0416667
2004-06-09	22.3750000
2004-06-10	14.8333333
2004-06-11	19.6250000
2004-06-12	20.3333333
2004-06-13	14.7916667
2004-06-14	18.4583333
2004-06-15	16.5833333
2004-06-16	12.3750000
2004-06-17	21.1250000
2004-06-18	21.0000000
2004-06-19	21.6250000
2004-06-20	21.3750000
2004-06-21	16.9583333
2004-06-22	18.8750000
2004-06-23	30.7500000
2004-06-24	17.1250000
2004-06-25	18.2500000
2004-06-26	12.8333333
2004-06-27	8.5416667
2004-06-28	2.2916667
2004-06-29	10.8333333
2004-06-30	0.0000000
2004-07-01	0.0000000
2004-07-02	1.2083333
2004-07-03	0.0000000
2004-07-04	0.0000000
2004-07-05	0.0000000
2004-07-06	0.0000000
2004-07-07	0.0000000
2004-07-08	0.0000000
2004-07-09	0.0000000
2004-07-10	0.0000000
2004-07-11	0.0000000
2004-07-12	0.0000000
2004-07-13	6.7916667
2004-07-14	15.9166667
2004-07-15	16.7500000
2004-07-16	17.7083333
2004-07-17	19.1250000
2004-07-18	16.4166667
2004-07-19	16.5416667
2004-07-20	17.7083333
2004-07-21	19.3750000
2004-07-22	18.7083333
2004-07-23	18.5416667
2004-07-24	18.0416667
2004-07-25	15.8750000
2004-07-26	20.7916667
2004-07-27	21.8333333
2004-07-28	20.6666667
2004-07-29	13.0833333
2004-07-30	16.1250000
2004-07-31	9.2916667
2004-08-01	19.9583333
2004-08-02	27.3333333
2004-08-03	24.2916667
2004-08-04	24.0416667
2004-08-05	20.0000000
2004-08-06	22.3333333
2004-08-07	20.0833333
2004-08-08	13.5833333
2004-08-09	19.4166667
2004-08-10	21.3333333
2004-08-11	16.0000000
2004-08-12	17.0000000
2004-08-13	9.0416667
2004-08-14	7.1250000
2004-08-15	0.0000000
2004-08-16	3.3750000
2004-08-17	19.5000000
2004-08-18	24.3333333
2004-08-19	22.5000000
2004-08-20	20.6666667
2004-08-21	19.5833333
2004-08-22	18.0000000
2004-08-23	14.8333333
2004-08-24	4.6666667
2004-08-25	22.6250000
2004-08-26	14.7500000
2004-08-27	18.9583333
2004-08-28	17.7083333
2004-08-29	16.0000000
2004-08-30	19.0833333
2004-08-31	16.6250000
2004-09-01	24.5000000
2004-09-02	29.5416667
2004-09-03	30.7083333
2004-09-04	20.7500000
2004-09-05	14.5000000
2004-09-06	28.6666667
2004-09-07	30.1250000
2004-09-08	20.9166667
2004-09-09	21.2500000
2004-09-10	30.8750000
2004-09-11	23.9583333
2004-09-12	18.9583333
2004-09-13	21.7500000
2004-09-14	23.5000000
2004-09-15	26.7083333
2004-09-16	31.7083333
2004-09-17	29.9583333
2004-09-18	20.2500000
2004-09-19	17.8333333
2004-09-20	28.0416667
2004-09-21	28.2500000
2004-09-22	28.4583333
2004-09-23	26.0416667
2004-09-24	29.5000000
2004-09-25	21.5416667
2004-09-26	23.6250000
2004-09-27	17.0833333
2004-09-28	21.6250000
2004-09-29	19.4166667
2004-09-30	23.8333333
2004-10-01	22.5416667
2004-10-02	17.1250000
2004-10-03	15.9166667
2004-10-04	23.4166667
2004-10-05	19.6666667
2004-10-06	20.9166667
2004-10-07	30.0000000
2004-10-08	22.2500000
2004-10-09	22.0416667
2004-10-10	18.1250000
2004-10-11	23.0416667
2004-10-12	26.1250000
2004-10-13	28.7083333
2004-10-14	26.1250000
2004-10-15	23.6250000
2004-10-16	20.5000000
2004-10-17	20.9166667
2004-10-18	23.2500000
2004-10-19	24.4166667
2004-10-20	68.7916667
2004-10-21	32.1250000
2004-10-22	24.4166667
2004-10-23	13.0416667
2004-10-24	9.9583333
2004-10-25	22.5416667
2004-10-26	18.9166667
2004-10-27	17.9166667
2004-10-28	20.6250000
2004-10-29	17.0416667
2004-10-30	21.1250000
2004-10-31	18.2500000
2004-11-01	11.4166667
2004-11-02	13.7083333
2004-11-03	16.7916667
2004-11-04	32.5000000
2004-11-05	31.7916667
2004-11-06	19.6666667
2004-11-07	15.0416667
2004-11-08	13.0416667
2004-11-09	18.5833333
2004-11-10	18.6666667
2004-11-11	17.3333333
2004-11-12	25.5000000
2004-11-13	14.0833333
2004-11-14	13.2083333
2004-11-15	16.2916667
2004-11-16	18.0000000
2004-11-17	24.7083333
2004-11-18	12.7916667
