date	pm10
2015-03-09	31.146
2015-03-12	53.817
2015-03-13	98.363
2015-03-14	42.358
2015-03-15	38.863
2015-03-16	48.779
2015-03-17	35.967
2015-03-18	32.992
2015-03-19	34.183
2015-04-04	30.029
2015-04-05	34.348
2015-04-06	42.638
2015-04-07	30.979
2015-04-08	34.846
2015-04-09	34.050
2015-04-10	34.988
2015-04-11	37.958
2015-04-12	40.954
2015-04-13	48.708
2015-04-14	44.275
2015-04-15	39.567
2015-04-16	78.171
2015-04-18	46.774
2015-04-19	54.171
2015-05-08	64.352
2015-05-09	45.763
2015-05-10	48.550
2015-05-11	48.163
2015-05-12	36.579
2015-05-13	31.388
2015-05-14	42.875
2015-05-15	72.492
2015-05-16	65.738
2015-05-17	58.446
2015-05-18	39.392
2015-05-19	50.513
2015-05-20	58.233
2015-05-21	86.021
2015-05-22	87.879
2015-05-23	76.963
2015-05-24	42.825
2015-05-25	52.529
2015-05-26	40.704
2015-05-29	39.125
2015-05-30	56.842
2015-05-31	50.167
2015-06-04	40.900
2015-06-05	48.633
2015-06-06	56.371
2015-06-07	53.621
2015-06-08	33.657
2015-06-11	36.939
2015-06-12	48.896
2015-06-13	54.283
2015-06-14	45.736
2015-06-15	49.567
2015-06-16	46.900
2015-06-17	66.083
2015-06-18	68.458
2015-06-19	45.238
2015-06-20	35.971
2015-06-21	31.188
2015-06-23	98.867
2015-06-24	83.033
2015-06-25	33.892
2015-06-26	53.636
2015-06-27	65.660
2015-06-28	62.878
2015-06-29	55.900
2015-07-01	45.125
2015-07-02	53.304
2015-07-03	68.073
2015-07-04	77.688
2015-07-05	44.760
2015-07-06	51.906
2015-07-07	43.635
2015-07-08	38.385
2015-07-11	46.219
2015-07-12	49.969
2015-07-14	46.988
2015-07-15	50.010
2015-07-16	53.104
2015-07-17	74.469
2015-07-18	74.594
2015-07-19	41.167
2015-07-20	53.853
2015-07-21	54.598
2015-07-22	51.473
2015-07-23	64.656
2015-07-24	39.207
2015-07-25	61.145
2015-07-26	54.823
2015-07-27	46.432
2015-07-28	54.545
2015-07-29	63.896
2015-07-30	67.906
2015-07-31	57.229
2015-08-01	42.903
2015-08-02	46.353
2015-08-03	43.627
2015-08-15	38.698
2015-08-19	35.188
2015-08-20	65.677
2015-08-21	49.281
2015-08-25	50.073
2015-08-26	43.783
2015-08-28	40.650
2015-08-30	39.365
2015-08-31	38.896
2015-09-02	50.969
2015-09-03	48.458
2015-09-06	37.271
2015-09-07	40.969
2015-09-08	31.677
2015-09-09	53.698
2015-09-10	42.323
2015-09-12	31.271
2015-09-13	52.990
2015-09-14	38.333
2015-09-15	58.049
2015-09-16	66.375
2015-09-17	47.177
2015-09-18	42.438
2015-09-19	34.652
2015-09-20	45.518
2015-10-09	65.156
2015-10-10	34.802
2015-11-09	33.196
2015-11-18	37.792
2015-11-25	38.656
2015-12-11	34.292
2015-12-12	30.385
2016-01-26	34.000
2016-01-27	34.300
2016-01-31	49.200
2016-02-01	32.600
2016-02-02	38.000
2016-02-03	34.600
2016-02-06	43.200
2016-02-07	42.500
2016-02-08	31.700
2016-02-12	34.700
2016-02-13	45.300
2016-02-15	38.400
2016-02-16	30.100
2016-02-28	30.000
2016-02-29	33.600
2016-03-01	31.500
2016-03-02	33.200
2016-03-07	36.200
2016-04-01	33.400
2016-04-22	53.100
2016-04-23	81.600
2016-04-24	85.700
2016-04-25	52.100
2016-04-26	53.100
2016-04-27	51.900
2016-04-28	54.300
2016-04-29	47.400
2016-04-30	42.500
2016-05-01	42.400
2016-05-02	33.100
2016-05-07	49.000
2016-05-22	55.600
2016-05-23	68.200
2016-05-24	52.700
2016-05-27	38.000
2016-05-28	32.200
2016-05-29	30.900
2016-05-30	35.700
2016-05-31	47.600
2016-06-02	81.800
2016-06-03	61.300
2016-06-04	39.800
2016-06-07	38.500
2016-06-08	47.500
2016-06-09	38.700
2016-06-14	30.100
2016-06-24	44.800
2016-06-25	39.300
2016-06-28	32.200
2016-06-29	33.400
2016-07-02	33.600
2016-07-05	40.000
2016-07-06	30.700
2016-07-10	46.000
2016-07-11	34.600
2016-07-21	40.300
2016-07-22	32.200
2016-07-26	51.400
2016-07-27	48.900
2016-07-28	36.500
2016-08-01	43.300
2016-08-02	33.200
2016-08-09	30.300
2016-08-18	39.500
2016-08-29	35.700
2016-09-02	42.300
2016-09-03	60.500
2016-09-04	35.800
2016-09-06	56.000
2016-09-10	37.800
2016-09-27	31.600
2016-09-29	49.300
2016-10-12	33.400
2016-12-09	35.700
