"","date","powerdry","powerhumid","powerwind","stdpowerwind","cape","cape_virt","station_name","powerall","normed_dry","normed_humid","normed_wind","normed_cape","normed_cape_virt"
"11864","2008-05-13",667,2215,2,0.58,117.64,214.04,"pr",2884,0.28344039565687,0.778919109415813,-0.0873786407766989,-0.931300581329078,-1.02330872207535
"11865","2008-05-14",753,2865,0.18,0.4,89.05,131.9,"pr",3618.18,0.772326758001251,1.45266180189892,-1.85436893203883,-0.963889205516927,-1.05342152660017
"11866","2008-05-15",611,1419,0.62,0.51,291.07,384.1,"pr",2030.62,-0.0349042123813313,-0.0461565570711887,-1.42718446601942,-0.733614499031118,-0.840641226841368
"11867","2008-05-16",702,1600,0.53,0.52,258.91,399.83,"pr",2302.53,0.482405775680746,0.141454869604876,-1.51456310679612,-0.770272426763935,-0.874514182193527
"11868","2008-05-17",627,3086,0.46,0.52,801.58,1055.94,"pr",3713.46,0.0560513899152977,1.68173431734317,-1.58252427184466,-0.151704092100764,-0.302939658531961
"11869","2008-05-18",663,1096,1.3,0.48,354.83,489.86,"pr",1760.3,0.260701495082713,-0.380954848874331,-0.766990291262136,-0.660936965690186,-0.77348514371781
"11870","2008-05-19",791,1523,1.4,0.52,488.85,662.44,"pr",2315.4,0.988346313455745,0.0616422737261081,-0.669902912621359,-0.508172802918044,-0.632326764479741
"11871","2008-05-20",712,2085,1.89,0.33,379.52,601.41,"pr",2798.89,0.539253027116139,0.644170570919192,-0.194174757281553,-0.632793799156503,-0.747480066987561
"11872","2008-05-21",528,1366,2.12,0.35,401.94,559.65,"pr",1896.12,-0.506736399295094,-0.101092499689042,0.0291262135922333,-0.607238116949732,-0.72386589848646
"11873","2008-05-22",391,2108,2.15,0.38,369.64,546.02,"pr",2501.15,-1.28554374395998,0.668010696960902,0.0582524271844661,-0.644055625213724,-0.757886310733809
"11874","2008-05-23",513,1350,2,0.6,474.22,707.14,"pr",1865,-0.592007276448184,-0.117676935196318,-0.0873786407766989,-0.524848968425852,-0.647736010027069
"11875","2008-05-24",466,1149,1.33,0.49,340.51,536.16,"pr",1616.33,-0.859189358194531,-0.326018906256478,-0.737864077669903,-0.677259774307534,-0.788567877568647
"11876","2008-05-25",421,1159,1.25,0.71,326.53,512.97,"pr",1581.25,-1.1150019896538,-0.315653634064431,-0.815533980582524,-0.693195030206315,-0.80329250181688
"11877","2008-05-26",360,940,1.38,0.74,644.85,852.9,"pr",1301.38,-1.4617702234097,-0.542653095070276,-0.689320388349514,-0.330354496751396,-0.468017652696881
"11878","2008-05-27",440,411,3,0,879.8,1057.38,"pr",854,-1.00699221192655,-1.0909759940296,0.883495145631068,-0.0625441696113074,-0.220553384662376
"11879","2008-05-28",680,1133,1.86,0.36,2737.06,2949.44,"pr",1814.86,0.357341822522881,-0.342603341763755,-0.223300970873786,2.05447395417759,1.73563085219553
"11880","2008-05-29",520,1043,1.5,0.53,2455.14,2659.38,"pr",1564.5,-0.552214200443409,-0.435890791492185,-0.572815533980582,1.73312435882822,1.43869479582486
"11881","2008-05-30",556,709,1.8,0.79,1643,1818.28,"pr",1266.8,-0.347564095275993,-0.78209088270658,-0.281553398058252,0.807397697480907,0.58329734682915
"11882","2008-05-31",453,709,2,0,935.22,1071.64,"pr",1164,-0.933090785060542,-0.78209088270658,-0.0873786407766989,0.000626923515331207,-0.162181519437979
"11883","2008-06-01",496,828,1,0,1287.77,1444.68,"pr",1325,-0.688647603888352,-0.658744143621211,-1.05825242718447,0.402484896842585,0.209146540555912
"11884","2008-06-02",404,363,1.2,0.42,1142.35,1278.36,"pr",768.2,-1.21164231709397,-1.14072930055143,-0.864077669902912,0.236726319389034,0.0559809569952496
"11885","2008-06-03",470,503,2,0.5,1936.85,2099.1,"pr",975,-0.836450457620374,-0.995615489862764,-0.0873786407766989,1.14234583380828,0.892798837197055
"11886","2008-06-04",621,1561,1.73,0.47,1359.72,1535.71,"pr",2183.73,0.0219430390540618,0.10103030805589,-0.349514563106796,0.484497891257267,0.284928852048071
"11887","2008-06-05",726,1696,2.08,0.51,1920.17,2144.51,"pr",2424.08,0.618839179125689,0.240961482648534,-0.00970873786407746,1.12333295337969,0.875230401398734
"11888","2008-06-06",621,1009,2.22,0.83,1855.06,2057.06,"pr",1632.22,0.0219430390540618,-0.471132716945147,0.12621359223301,1.04911660777385,0.806652412500132
"11889","2008-06-07",891,2081,2.33,0.5,1335.63,1486.82,"pr",2974.33,1.55681882780968,0.640024462042373,0.233009708737864,0.457038641285763,0.259555733440064
"11890","2008-06-08",680,1408,0.08,0.28,1916.41,2163.85,"pr",2088.08,0.357341822522881,-0.0575583564824412,-1.95145631067961,1.1190470762567,0.871270130499352
"11891","2008-06-09",637,1316,1,0,2104.09,2330.75,"pr",1954,0.112898641350691,-0.152918860649281,-1.05825242718447,1.33297617690642,1.06894663113658
"11892","2008-06-10",641,672,0.62,0.52,1652.21,1871.78,"pr",1313.62,0.135637541924848,-0.820442389817157,-1.42718446601942,0.817895816710361,0.592997904005561
"11893","2008-06-11",474,789,0.89,0.33,1838.28,2080.26,"pr",1263.89,-0.813711557046217,-0.699168705170198,-1.16504854368932,1.02998974125157,0.788978650348104
"11894","2008-06-12",580,1104,1.62,0.52,1247.59,1473.26,"pr",1685.62,-0.21113069183105,-0.372662631120693,-0.45631067961165,0.356685284395304,0.166826411636455
"11895","2008-06-13",607,546,2.82,0.4,2320.53,2541.95,"pr",1155.82,-0.0576431129554885,-0.951044819436958,0.70873786407767,1.57968767810327,1.29691499109992
"11896","2008-06-14",425,868,2.89,0.33,2858.18,3073.49,"pr",1295.89,-1.09226308907964,-0.61728305485302,0.776699029126214,2.19253391086287,1.8632021318054
"11897","2008-06-15",393,2181,2.29,0.95,1687.35,1866.59,"pr",2576.29,-1.2741742936729,0.743677183962851,0.194174757281554,0.857950530035336,0.630009584698187
"11898","2008-06-16",216,2260,2.83,0.41,737.28,902.11,"pr",2478.83,-2.28037064407936,0.825562834280028,0.718446601941748,-0.224997150347658,-0.370664503965537
"11899","2008-06-17",717,1720,3.86,0.38,1570.38,1844.03,"pr",2440.86,0.567676652833836,0.265838135909449,1.71844660194175,0.724620996238459,0.506809348767155
"11900","2008-06-18",598,1103,2.79,0.43,2068.72,2317.87,"pr",1703.79,-0.108805639247342,-0.373699158339898,0.679611650485437,1.29265929556594,1.03169269983042
"11901","2008-06-19",318,2502,2.29,0.49,981.8,1145.2,"pr",2822.29,-1.70052867943835,1.07640242132758,0.194174757281554,0.053721645959193,-0.113120503881276
"11902","2008-06-20",795,1826,4,0,2859.98,3166.04,"pr",2625,1.0110852140299,0.375710021145155,1.85436893203884,2.19458566054941,1.86509800617212
"11903","2008-06-21",588,1869,3.71,0.49,1794.73,2068.01,"pr",2460.71,-0.165652890682735,0.420280691570961,1.57281553398058,0.980348797446712,0.743109023308722
"11904","2008-06-22",508,1108,3.58,0.51,2280.85,2549.2,"pr",1619.58,-0.62043090216588,-0.368516522243874,1.44660194174757,1.53445799612447,1.255121493949
"11905","2008-06-23",613,1154,4.8,0.42,2103.93,2365.67,"pr",1771.8,-0.0235347620942527,-0.320836270160454,2.63106796116505,1.3327937991565,1.06877810897065
"11906","2008-06-24",800,2136,4.4,0.7,2698.37,2912.06,"pr",2940.4,1.0395088397476,0.697033459098636,2.24271844660194,2.01037273452639,1.6948800859463
"11907","2008-06-25",957,2574,4.78,0.44,2344.82,2559.35,"pr",3535.78,1.93201068728327,1.15103238111033,2.61165048543689,1.60737490026217,1.32249876241534
"11908","2008-06-26",789,2251,3,0,1548.89,1753.85,"pr",3043,0.976976863168666,0.816234089307185,0.883495145631068,0.700125384703066,0.484174715355529
"11909","2008-06-27",714,2431,3.11,0.6,1715.07,1998.97,"pr",3148.11,0.550622477403218,1.00280898876405,0.990291262135922,0.889547475208025,0.659206049945757
"11910","2008-06-28",620,1694,3.89,0.33,3300.85,3619.9,"pr",2317.89,0.0162583139105225,0.238888428210125,1.74757281553398,2.69711615182948,2.32945030176
"11911","2008-06-29",673,1685,3.07,0.27,2541.67,2782.55,"pr",2361.07,0.317548746518106,0.229559683237282,0.951456310679612,1.83175652570386,1.5298336896875
"11912","2008-06-30",705,2779,3.75,0.46,2404.63,2626.95,"pr",3487.75,0.499459951111364,1.36352046104731,1.61165048543689,1.67554998290209,1.38549445456748
"11913","2008-07-01",513,865,2.92,0.29,2120,2350.5,"pr",1380.92,-0.592007276448184,-0.620392636510635,0.805825242718447,1.35111136441354,1.08570405401135
"11914","2008-07-02",431,175,2.78,0.44,1040.97,1239.92,"pr",608.78,-1.05815473821841,-1.33559641776193,0.669902912621359,0.121167217599453,-0.0507989003928673
"11915","2008-07-03",633,1425,1.38,1.19,2497.08,2754.05,"pr",2059.38,0.0901597407765335,-0.03993739375596,-0.689320388349514,1.78093012652456,1.48286866856956
"11916","2008-07-04",550,1503,2,0.93,1689.92,1936.17,"pr",2055,-0.381672446137229,0.0409117293420126,-0.0873786407766989,0.860879972643338,0.632716471988456
"11917","2008-07-05",604,1446,2.82,0.4,1236.2,1441.18,"pr",2052.82,-0.0746972883861065,-0.0181703221526597,0.70873786407767,0.343702268323265,0.154829739949233
"11918","2008-07-06",559,1098,4.42,0.51,2491.93,2769.28,"pr",1661.42,-0.330509919845375,-0.378881794435922,2.2621359223301,1.77505984269919,1.47744436135365
"11919","2008-07-07",949,2914,4.73,0.9,794.84,983.19,"pr",3867.73,1.88653288613496,1.50345163563995,2.56310679611651,-0.159386754815912,-0.31003865477181
"11920","2008-07-08",951,3041,3.6,0.52,895.79,1132.75,"pr",3995.6,1.89790233642203,1.63509059247896,1.46601941747573,-0.044317793229226,-0.203711700704633
"11921","2008-07-09",575,1027,1.8,0.77,2428.48,2657.14,"pr",1603.8,-0.239554317548746,-0.452475226999461,-0.281553398058252,1.70273566624872,1.41061478992659
"11922","2008-07-10",775,1561,1.7,0.48,2083.57,2321.68,"pr",2337.7,0.897390711159116,0.10103030805589,-0.378640776699029,1.30958623047988,1.04733366335591
"11923","2008-07-11",724,2104,1.33,0.5,2493.85,2775.13,"pr",2829.33,0.607469728838611,0.663864588084083,-0.737864077669903,1.77724837569816,1.47946662734483
"11924","2008-07-12",744,2742,2,0,1825.54,2066.88,"pr",3488,0.721164231709397,1.32516895393673,-0.0873786407766989,1.01546791291462,0.775560072885837
"11925","2008-07-13",858,2964,2,0,1538.34,1789.96,"pr",3824,1.36922289807288,1.55527799660019,-0.0873786407766989,0.688099851818078,0.473062785039445
"11926","2008-07-14",985,3704,3.18,0.6,1360.39,1580.04,"pr",4692.18,2.09118299130237,2.32230813881173,1.05825242718447,0.485261598085034,0.285634538617908
"11927","2008-07-15",979,3214,3.33,0.49,2646.49,2967.51,"pr",4196.33,2.05707464044113,1.81440980140138,1.20388349514563,1.95123674911661,1.64023677364313
"11928","2008-07-16",873,1899,3.69,0.63,2576.76,2884.73,"pr",2775.69,1.45449377522597,0.451376508147104,1.55339805825243,1.87175424598199,1.56679270720327
"11929","2008-07-17",884,2920,3.56,0.53,1700.86,1944.12,"pr",3807.56,1.5170257518049,1.50967079895518,1.42718446601942,0.873350051293742,0.644239175083998
"11930","2008-07-18",495,1291,3.12,0.35,2068.31,2317.64,"pr",1789.12,-0.694332329031891,-0.1788320411294,1,1.29219195258178,1.03126086178023
"11931","2008-07-19",580,1479,1.7,0.48,2322.44,2622.31,"pr",2060.7,-0.21113069183105,0.0160350760810979,-0.378640776699029,1.58186481249288,1.29892672445573
"11932","2008-07-20",531,1621,1.46,0.52,2095.3,2399.92,"pr",2153.46,-0.489682223864476,0.163221941208176,-0.611650485436893,1.32295679927049,1.05968844464574
"11933","2008-07-21",694,1059,1,0,1841.9,2066.79,"pr",1754,0.436927974532431,-0.419306355984908,-1.05825242718447,1.03411603784338,0.792791464352296
"11934","2008-07-22",507,1265,1,0,2651.57,2937.52,"pr",1773,-0.626115627309419,-0.205781748828724,-1.05825242718447,1.95702724267639,1.64558735241145
"11935","2008-07-23",443,1630,1.2,0.42,1431.29,1694.79,"pr",2074.2,-0.989938036495935,0.172550686181019,-0.864077669902912,0.566077738515901,0.360310923396143
