"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"217",1991-02-19,531,2144,0.53,2677.56,200.62,368.28,"25,5","0,71",2
"218",1991-02-20,728,3018,0.74,3749.62,168.11,308.82,"23",NA,1
"219",1991-02-21,639,405,1.41,1047,615.76,745.87,"30","2,83",2
"220",1991-02-23,917,2474,0.7,3392.09,334.56,393.54,"25,27","12,99",11
"221",1991-02-26,720,2602,1.41,3324,630.24,817,"41",NA,1
"222",1991-02-27,995,1518,0.32,2514.9,392.49,546.61,"36,5","0,71",2
"223",1991-03-10,771,1154,0.69,1926.55,768.62,948.24,"26",NA,1
"224",1991-03-11,765,1479,0.51,2244.38,826.31,1035.14,"32","8,49",2
"225",1991-03-12,581,1337,0.55,1919.5,774.45,961.47,"34",NA,1
"226",1991-03-13,818,1356,0,2176,474.29,654.85,"31,4","7,37",10
"227",1991-03-15,827,1973,0.52,2802.55,46.15,67.12,"34,5","7,78",2
"228",1991-03-16,439,1668,0,2108,144.61,283.03,"25",NA,1
"229",1991-03-17,667,1998,0.45,2666.25,84.22,133.5,"18,5","3,54",2
"230",1991-03-19,705,2589,0.51,3296.58,70.96,116.38,"24,09","5,84",11
"231",1991-03-21,606,810,0,1418,43.45,66.09,"34,67","8,08",3
"232",1991-03-24,453,363,0.3,818.09,185.69,271.15,"28",NA,1
"233",1991-03-25,573,357,0.89,932.4,380.58,578.2,"25,55","4,89",11
"234",1991-03-26,374,2034,0,2409,153.25,332.15,"38",NA,1
"235",1991-03-27,603,1416,0.32,2019.9,822.4,1103.22,"29,5","0,71",2
"236",1991-03-28,540,914,0.53,1455.5,173.52,320.46,"36","12,73",2
"237",1991-03-29,565,2427,0.67,2994.3,1058.09,1205.17,"26,5","2,12",2
"238",1991-03-30,525,1134,0,1663,30.84,45.72,"39",NA,1
"239",1991-03-31,736,2550,0.44,3288.78,39.46,135.67,"24,82","4,14",11
"240",1991-04-24,641,629,0,1272,469.82,695.37,"29,91","5,36",11
"241",1991-04-25,577,1058,0.63,1636,0,0,"27",NA,1
"242",1991-04-26,527,1371,0,1900,357.72,545.65,"29,5","0,71",2
"243",1991-04-27,850,1379,0.45,2232.75,628.59,838.17,"30","1,41",2
"244",1991-04-28,958,1775,0.93,2736.11,952.75,1130.1,"38","9,64",3
"245",1991-04-29,813,2246,0.83,3062.09,788.19,958.61,"54",NA,1
"246",1991-04-30,604,2163,0.76,2769,650.93,849.51,"43,33","6,04",9
