date,aot1020
2009-07-12,0.0563338800
2009-07-13,0.2511140000
2009-07-16,0.1106822500
2009-07-17,0.1905451250
2009-07-18,0.2437770000
2009-07-20,0.2746990000
2009-07-21,0.8524245000
2009-07-22,0.5262652000
2009-07-23,0.4559555833
2009-07-24,0.3752618667
2009-07-25,0.2424222308
2009-07-26,0.1979652727
2009-07-27,0.4141307778
2009-07-28,0.3583379375
2009-07-29,0.2244845556
2009-07-30,0.3939608571
2009-07-31,0.2560842941
2009-08-01,0.2087556875
2009-08-02,0.0961723846
2009-08-03,0.1548969231
2009-08-04,0.2903433333
2009-08-05,0.2460596765
2009-08-06,0.4315950000
2009-08-07,0.5499732000
2009-09-24,0.0263470625
2009-09-25,0.0222147000
2009-09-26,0.0447816000
2009-09-28,0.3464220000
2010-04-28,0.4689596857
2010-04-29,0.1289088846
2010-05-02,0.0438498148
2010-05-03,0.1386550000
2010-05-04,0.0826865000
2010-05-05,0.0772540455
2010-05-06,0.0160079167
2010-05-07,0.0613451250
2010-05-08,0.0443124583
2010-05-09,0.0445773750
2010-05-10,0.0404458667
2010-05-11,0.0329310000
2010-05-12,0.0821548333
2010-05-16,0.0694880000
2010-05-18,0.0911975556
2010-05-19,0.1039824167
2010-05-20,0.0944884545
2010-05-21,0.0931556154
2010-05-22,0.1388925385
2010-05-23,0.1477412381
2010-05-24,0.1085310000
2010-05-25,0.3157511667
2010-05-26,0.3008571250
2010-05-27,0.4946650000
2010-05-29,0.1712848333
2010-05-30,0.0818010870
2010-05-31,0.5612624545
2010-06-01,0.7148171667
2010-06-02,0.7517346154
2010-06-03,0.6682490286
2010-06-04,0.4778868889
2010-06-05,0.0512994000
2010-06-06,0.0444629583
2010-06-07,0.0904750857
2010-06-08,0.2513863810
2010-06-10,0.2772320000
2010-06-11,0.0342190000
2010-06-12,0.0661401579
2010-06-13,0.0678910943
2010-06-14,0.0265508750
2010-06-15,0.0433395217
2010-06-16,0.0672410000
2010-06-17,0.0630004000
2010-06-18,0.1278580000
2010-06-20,0.0878266667
2010-06-21,0.0964010000
2010-06-22,0.1622375625
2010-06-23,0.3374670000
2010-06-26,0.2515850000
2010-06-27,0.1586921333
2010-06-28,0.3875662222
2010-07-03,0.3169110000
2010-07-04,0.0757010000
2010-07-06,0.6665906250
2010-07-07,0.4524616111
2010-07-08,0.1258047647
2010-07-09,0.1595368710
2010-07-10,0.7259098182
2010-07-12,0.1364196250
2010-07-13,0.2983297143
