nbdates	date	aot_440_daily	angstrom440_870	angstrom440_675
16	2011-08-17	0.0870826250	0.1770946250	0.5160764375
18	2011-08-18	0.1392898333	0.2320169444	0.4268285556
29	2011-08-19	0.3252197931	0.1589435862	0.2240044483
20	2011-08-22	0.3582442500	0.0839660000	0.1580382500
26	2011-08-24	0.3351087308	-0.0319515000	0.0407155385
16	2011-08-28	0.1108040625	0.2720921875	0.5067684375
24	2011-08-29	0.1524940833	0.1990387917	0.3704263750
27	2011-08-30	0.0963007778	0.3171166667	0.6447537037
22	2011-08-31	0.1143243636	0.2664971818	0.5398612273
44	2011-09-02	0.1321238182	0.9465681818	1.1489720909
30	2011-09-03	0.1587185667	0.5796249333	0.7660000333
18	2011-09-04	0.1883403889	0.4886192222	0.6469956667
40	2011-09-05	0.1594729250	0.4463284250	0.6346080000
21	2011-09-06	0.1147570952	0.3350047143	0.6173578571
47	2011-09-12	0.1597228936	0.2198366596	0.3978283404
25	2011-09-14	0.2620902400	0.2133322800	0.3115458400
14	2011-09-15	0.3095282143	0.1497532143	0.2515065000
22	2011-09-19	0.0994144091	0.3694901818	0.6319137273
50	2011-09-20	0.0664669800	0.5867646000	1.0023119800
21	2011-09-21	0.1059497143	0.3020795238	0.5366434286
18	2011-09-23	0.2111430556	0.0941370556	0.2141965556
27	2011-09-24	0.0973770000	0.1630070370	0.4052200370
14	2011-09-25	0.1965685000	0.6500010714	0.8309430000
24	2011-09-26	0.1782244583	0.8846370833	1.0709621667
14	2011-09-28	0.1755530714	0.7361069286	0.9213636429
25	2011-09-29	0.1350780000	0.5162606800	0.7502055600
24	2011-09-30	0.1586694583	0.6702617500	0.8917437083
21	2011-10-01	0.0626992381	0.2891556667	0.7437813333
22	2011-10-03	0.1868370909	0.1217415455	0.2540984545
18	2011-10-08	0.0935324444	0.5167668333	0.8037016667
29	2011-10-09	0.0798634828	0.3037013793	0.5989698276
30	2011-10-11	0.1409710000	0.1448367000	0.2952829333
23	2011-10-13	0.2644039565	0.1943210870	0.2524823043
